d,Name,Author,Sec,Tier,Screenshot,X,Y,Z,XP,Res,Trees,Surveyor,Steam name,Aluminium,Bronze,Copper,Gold,Iron,Lead,Nickel,Silver,Steel,Tin,Titanium,Tungsten
A1_1,Ancient Harbor,laflyboy,A1,2,https://gyazo.com/8c9ac42bea1b69dda274bd324acd6282,8190,496,7331,5,Yes,"Hemlock, Chestnut, Birch",SonneillonZ,,,,,,,,,,,,,
A1_2,Ladies Plaza,Memechanical Menace,A1,2,https://i.imgur.com/cdF5t0s.png,6968,298,8221,2,Yes,"Oak, Elm, Birch",SonneillonZ,,,,,,,,,,,,,
A1_3,Trial of Light,Mausis,A1,2,https://gyazo.com/905bef727253ee8c94d38f3f16586594,8458,-153,9181,4,Yes,"Oak, Birch",SonneillonZ,,,,,,,,,,,,,
A1_4,Solitude,SuspiciouslyAwesome,A1,2,https://gyazo.com/2060412ce005549c88d76562711d65eb,9522,-333,9904,1,No,Oak,SonneillonZ,,,,,,,,,,,,,
A1_5,World Ash Tree,B a r,A1,2,https://gyazo.com/0c284a3a65887e745cf37e27c7e3e10c,10820,531,9526,2,Yes,"Oak, Birch",SonneillonZ,,,,,,,1,,,,,,
A1_6,Paradise Cave,SkullDrexBG,A1,2,https://gyazo.com/861c8e23667d6df094e33e028be0d691,9981,-479,7311,4,Yes,"Cedar, Birch, Palm, Oak",SonneillonZ,,,,,,,,,,,,,
A1_7,Autumn Island,Phlop,A1,2,https://gyazo.com/58e79f8cea5d34a6f3d37342ddb5c09b,9198,-340,6324,1,Yes,"Chestnut, Birch",SonneillonZ,,,,,,,,,,,,,
A1_8,Fertile Farm,Unknown,A1,2,https://i.imgur.com/Vi0T9mq.png,9076,227,5404,1,No,"Oak, Ash",SonneillonZ,,,,,,,,,,,,,
A1_9,Twin Towers,Davemane42,A1,2,https://i.imgur.com/PRyBaOy.png,9521,240,8053,2,No,Oak,Jerodar,,,,,,,,,,,,,
A2_1,Angelic Hedgehog,Puppy Fur | Amber,A2,1,https://drive.google.com/open?id=0B8h0dYtlmo54X0pnOVlFRWl6SVE,11830,-406,4683,2,No,Elm,SonneillonZ,,,,,,,,,,,,,
A2_2,Vulcanic Mold,Moonstone,A2,1,https://drive.google.com/open?id=0B8h0dYtlmo54Njd5R1QwOTZEOHc,13891,182,4365,3,Yes,Chestnut,SonneillonZ,,,,,,,,,,,,,
A2_3,Reaching,VivaLaDoctor,A2,1,https://drive.google.com/open?id=0B8h0dYtlmo54bko0NWp3T3haOFU,16000,-243,4357,4,Yes,Elm,SonneillonZ,,,,,,,,,,,,,
A2_4,Crashed airship,tollymain,A2,1,https://drive.google.com/open?id=0B8h0dYtlmo54NDd5d1cyNk1hdHM,15905,340,6141,4,Yes,Chestnut,SonneillonZ,,,,,,,,,,,,,
A2_5,Cliffside Forest,MadStronk,A2,1,https://drive.google.com/open?id=0B8h0dYtlmo54czZaNVY1LWtyV1E,16716,-191,5480,1,No,"Birch, Oak",SonneillonZ,,,,,,,,,,,,,
A2_6,Roofed Plateau,Narciciss,A2,1,https://drive.google.com/open?id=0B8h0dYtlmo54M3NyZHBCMWNMdE0,16391,-361,7807,4,Yes,Elm,SonneillonZ,,,,,,,,,,,,,
A2_7,Swiss Cheese,[RIP],A2,1,https://drive.google.com/open?id=0B8h0dYtlmo54TEJET1p6eEM0ZTQ,15038,-271,7124,2,No,Oak,SonneillonZ,,,,,,,,,,,,,
A2_8,Island Family,Loryenne,A2,1,https://drive.google.com/open?id=0B8h0dYtlmo54TDg2R1htLXhXcGc,16482,-332,9721,2,No,"Elm, Oak, Birch",SonneillonZ,,,,,,,,,,,,,
A2_9,Dirt Ball,Ad3pt,A2,1,https://drive.google.com/open?id=0B8h0dYtlmo54a3lvTDNENWlBUVU,15217,-405,9058,2,No,Elm,SonneillonZ,,,,,,,,,,,,,
A2_10,Landing Plateaus,Starwanderer159,A2,1,https://drive.google.com/open?id=0B8h0dYtlmo54a0pCR1MtNndaeU0,14645,-250,9866,3,No,Elm,SonneillonZ,,,,,,,,,,,,,
A2_11,Birchlands,Lexhy,A2,1,https://drive.google.com/open?id=0B8h0dYtlmo54clVnR2JrVDhuams,14382,39,8252,3,No,Birch,SonneillonZ,,,,,,,,,,,,,
