Tier,X1,Z1,X2,Z2,Sector
2,-18000,9000,-14100,8000,T2 T3
2,-18000,13100,-15000,13200,T1 T2
2,-12600,11300,-8900,11700,K1 K3
2,-8900,11700,1300,13100,K2 K4
2,-8900,11700,-7800,18000,K1 K2
2,-8900,11700,-6400,5800,K3 K4
2,-6400,5800,-7600,4000,K3 K6
2,-6400,5800,-4700,6200,K4 K6
2,-4700,6200,1300,13100,K4 K5
2,-4700,6200,400,3600,K5 K6
2,9500,11300,6400,18000,I1 I2
2,13900,11400,10700,18000,I2 I3
2,-4400,-1600,-10800,-3900,N1 N2
2,10100,-7400,9700,-8300,H1 H2
2,900,1900,3100,-1400,M2 M1
2,-2400,-4100,1300,-3200,M2 M3
2,13100,-12100,13400,-18000,B1 B2
2,8800,3800,9600,3800,A1 A3
2,9600,3800,13900,11400,A1 A2
2,9600,3800,18000,3000,A2 A4
2,9600,3800,13100,-4400,A3 A4
2,-18000,-8000,-9900,-8000,Z1 Z2
2,-9900,-8000,-9700,-7700,Z1 Z4
2,-9900,-8000,-11200,-15100,Z2 Z4
2,-18000,-12400,-11200,-15100,Z2 Z3
2,-11200,-15100,-10000,-18000,Z3 Z4
2,-7800,-18000,-1100,-12900,Z4 Z5
2,900,-13100,3000,-18000,Z5 Z6
3,-13500,18000,-15000,13200,T1 K1
3,-15000,13200,-12600,11300,T2 K1
3,-12600,11300,-14100,8000,T2 K3
3,-14100,8000,-13700,900,T3 K3
3,-13700,900,-18000,300,T3 Z1
3,4100,-1400,8800,3800,M1 A3
3,8800,3800,4600,9000,M1 A1
3,4600,9000,400,3600,K5 M1
3,400,3600,900,1900,K6 M1
3,900,1900,-4900,200,K6 M2
3,-4600,-7600,-1100,-12900,Z4 M3
3,-1100,-12900,900,-13100,M3 Z5
3,900,-13100,3000,-11200,M3 Z6
3,7300,-10400,8300,-18000,Z6 B1
4,1600,18000,1300,13100,K2 I1
4,1300,13100,4600,9000,K5 I1
4,4600,9000,9500,11300,I1 A1
4,9500,11300,13900,11400,I2 A1
4,13900,11400,18000,11200,I3 A2
4,-13700,900,-7600,4000,K3 N1
4,-7600,4000,-4900,200,N1 K6
4,-4900,200,-4400,-1600,N1 M2
4,-4400,-1600,-2400,-4100,N2 M2
4,-2400,-4100,-4600,-7600,N2 M3
4,-4600,-7600,-9700,-7700,N2 Z4
4,-9700,-7700,-10800,-3900,Z1 N2
4,-10800,-3900,-13700,900,Z1 N1
4,18000,-3100,13100,-4400,A4 H2
4,13100,-4400,10100,-7400,A3 H2
4,10100,-7400,4100,-1400,A3 H1
4,4100,-1400,3100,-1400,M1 H1
4,3100,-1400,1300,-3200,M2 H1
4,1300,-3200,3000,-11200,M3 H1
4,3000,-11200,7300,-10400,H1 Z6
4,7300,-10400,9700,-8300,H1 B1
4,9700,-8300,13100,-12100,H2 B1
4,13100,-12100,18000,-11000,H2 B2
1,-18000,-18000,-18000,18000,West border
1,-18000,18000,18000,18000,North border
1,18000,18000,18000,-18000,East border
1,18000,-18000,-18000,-18000,South border
