ID,Region,Tier,P1,P2,P3,P4,P5,P6,P7
A1,Ariel,3,1,2,9,8,7,,
A2,Ariel,3,2,3,11,10,9,,
E1,Ezra,4,7,8,19,18,,,
E2,Ezra,4,18,19,26,25,,,
H1,Hera,3,25,26,27,39,38,,
H2,Hera,3,27,41,40,39,,,
H3,Hera,3,38,39,40,51,50,,
SE1,Serenity,1,4,14,13,12,11,3,
SE2,Serenity,2,11,12,21,57,20,10,
SE3,Serenity,1,9,10,20,19,8,,
SE4,Serenity,1,57,21,22,31,30,29,
SE5,Serenity,2,20,57,29,28,19,,
SE6,Serenity,1,19,28,27,26,,,
SE7,Serenity,2,28,29,42,41,27,,
SE8,Serenity,2,29,44,43,42,,,
SE9,Serenity,1,41,42,43,52,51,40,
C1,Canton,4,13,24,23,22,21,12,
C2,Canton,4,15,16,24,13,14,,
C3,Canton,4,5,15,14,4,,,
C4,Canton,4,5,6,17,16,15,,
L1,Lilac,3,16,17,33,23,24,,
L2,Lilac,3,23,33,32,31,22,,
L3,Lilac,3,32,36,35,34,30,31,
O1,Osiris,4,30,34,45,44,29,,
SI1,Sihnon,3,45,53,52,43,44,,
SI2,Sihnon,3,45,46,54,53,,,
M1,Miranda,1,17,37,36,32,33,,
M2,Miranda,2,36,37,49,48,47,35,
M3,Miranda,1,35,47,46,45,34,,
M4,Miranda,2,47,48,55,54,46,,
M5,Miranda,1,48,49,56,55,,,
