ID,Tier,P1,P2
E1 E2,2,18,19
C3 C4,2,5,15
C3 C2,2,14,15
C2 C4,2,15,16
C2 C1,2,13,24
A2 A1,2,2,9
H1 H2,2,27,39
H2 H3,2,39,40
H1 H3,2,38,39
Si1 Si2,2,45,53
L1 L2,2,23,33
L2 L3,2,31,32
Se3 Se2,2,10,20
Se2 Se1,2,11,12
Se3 Se5,2,19,20
Se2 Se5,2,20,57
Se2 Se4,2,57,21
Se6 Se5,2,19,28
Se5 Se4,2,57,29
Se6 Se7,2,27,28
Se5 Se7,2,28,29
Se4 Se7,2,29,58
Se7 Se8,2,58,42
Se7 Se9,2,41,42
Se9 Se8,2,42,43
M1 M2,2,36,37
M3 M2,2,35,47
M3 M4,2,46,47
M2 M4,2,47,48
M2 M5,2,48,49
M4 M5,2,48,55
A2 Se3,3,8,9
A1 Se3,3,9,10
A1 Se2,3,10,11
A1 Se1,3,11,3
Se6 H1,3,26,27
H2 Se7,3,27,41
H2 Se9,3,40,41
H3 Se9,3,40,51
Se9 Si1,3,43,52
Se8 Si1,3,43,44
M3 Si2,3,45,46
Si2 M4,3,46,54
Se4 L2,3,22,31
Se4 L3,3,30,31
L3 M3,3,34,35
L3 M2,3,35,36
L3 M1,3,32,36
L2 M1,3,32,33
L1 M1,3,33,17
A2 E1,4,7,8
E1 Se3,4,8,19
E2 Se6,4,19,26
E2 H1,4,25,26
Se1 C3,4,4,14
Se1 C2,4,13,14
Se1 C1,4,12,13
Se2 C1,4,12,21
Se4 C1,4,21,22
C1 L2,4,22,23
C1 L1,4,23,24
C2 L1,4,24,16
C4 L1,4,16,17
Se4 O1,4,58,30
Se8 O1,4,58,44
O1 Si1,4,44,45
O1 M3,4,45,34
L3 O1,4,30,34
West,1,1,50
North,1,1,6
East,1,6,56
South,1,50,56
